UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;BOLÍVIA;Residente;86857
SP;CORÉIA DO SUL;Residente;15588
SP;PERU;Residente;14266
SP;JAPÃO;Residente;41342
SP;ESPANHA;Residente;22970
SP;PORTUGAL;Residente;77630
SP;ARGENTINA;Residente;21851
SP;CHINA;Residente;35887
SP;VENEZUELA;Residente;12989
SP;PARAGUAI;Residente;10075
SP;INDONÉSIA;Residente;194
SP;INDIA;Residente;1317
SP;VENEZUELA;Temporário;13248
SP;ITÁLIA;Residente;25321
SP;CHILE;Residente;15835
SP;MARROCOS;Residente;506
SP;REINO UNIDO;Residente;3867
SP;HAITI;Residente;27709
SP;BOLÍVIA;Temporário;17174
SP;MÉXICO;Temporário;385
SP;FRANÇA;Residente;7751
SP;ALEMANHA;Residente;10924
SP;SENEGAL;Residente;2257
SP;SÍRIA;Residente;3847
SP;NIGÉRIA;Provisório;503
SP;ANGOLA;Residente;4859
SP;FINLÂNDIA;Residente;301
SP;EQUADOR;Residente;1771
SP;GUINÉ BISSAU;Residente;783
SP;CANADÁ;Residente;1289
SP;SUÍCA;Residente;2072
SP;ESTADOS UNIDOS;Temporário;1854
SP;ESTADOS UNIDOS;Residente;11144
SP;ISRAEL;Residente;978
SP;AUSTRIA;Residente;1164
SP;URUGUAI;Residente;5363
SP;ANGOLA;Provisório;3961
SP;PARAGUAI;Temporário;1506
SP;EL SALVADOR;Residente;197
SP;RÚSSIA;Temporário;131
SP;LÍBANO;Residente;6102
SP;BANGLADESH;Residente;1313
SP;COLÔMBIA;Residente;10776
SP;IRAQUE;Residente;210
SP;DINAMARCA;Residente;437
SP;JAPÃO;Temporário;422
SP;SUÉCIA;Residente;985
SP;EGITO;Residente;811
SP;HAITI;Temporário;5715
SP;ANGOLA;Temporário;801
SP;COLÔMBIA;Temporário;3886
SP;TUNÍSIA;Residente;153
SP;PERU;Temporário;2682
SP;CORÉIA DO SUL;Temporário;382
SP;PAÍSES BAIXOS;Residente;2474
SP;COSTA RICA;Temporário;63
SP;BÉLGICA;Residente;1140
SP;AFEGANISTÃO;Temporário;1475
SP;LITUÂNIA;Residente;1149
SP;FILIPINAS;Residente;534
SP;AFRICA DO SUL;Residente;368
SP;ROMÊNIA;Residente;1461
SP;NIGÉRIA;Residente;4459
SP;SÉRVIA;Residente;83
SP;VIETINA;Residente;70
SP;UNIÃO SOVIÉTICA;Residente;63
SP;APÁTRIDA;Residente;683
SP;REPÚBLICA TCHECA;Residente;141
SP;HAITI;Provisório;26
SP;HONDURAS;Residente;125
SP;VENEZUELA;Provisório;1737
SP;ESLOVÁQUIA;Residente;65
SP;POLÔNIA;Residente;1275
SP;COSTA RICA;Residente;279
SP;CHINA;Provisório;627
SP;EQUADOR;Temporário;1513
SP;ARGENTINA;Provisório;10
SP;GUINÉ EQUATORIAL;Provisório;8
SP;CONGO;Residente;607
SP;PARAGUAI;Provisório;9
SP;MOÇAMBIQUE;Residente;257
SP;CANADÁ;Temporário;61
SP;GRÉCIA;Residente;1060
SP;PALESTINA;Provisório;32
SP;CUBA;Residente;3002
SP;ARGENTINA;Temporário;495
SP;SERVIA E MONTENEGRO;Residente;1197
SP;AUSTRÁLIA;Residente;615
SP;BENIN;Residente;134
SP;TUNÍSIA;Provisório;80
SP;RÚSSIA;Residente;915
SP;MÉXICO;Residente;2879
SP;MARROCOS;Provisório;308
SP;PANAMÁ;Residente;252
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;98
SP;CHILE;Temporário;613
SP;ESLOVÊNIA;Residente;38
SP;IRÃ;Provisório;53
SP;IRLANDA;Residente;406
SP;JORDÂNIA;Residente;254
SP;TURQUIA;Residente;490
